Club,Within Half-Mile,Phone #,Weblink
24 Hour Fitness - Lancaster,CVS #8522,(661)942-0607,https://www.cvs.com/store-locator/lancaster-ca-pharmacies/43839-15th-street-west-suite-p-lancaster-ca-93534/storeid=8522
,High Desert Medical Group Geriatric Urgent Care,(661)945-5984,http://hdmg.net/wordpress/
,CVS #16069,(661)674-3126,https://www.cvs.com/store-locator/lancaster-ca-pharmacies/43525-10th-st-w-lancaster-ca-93534/storeid=16069
,CVS #1666,(661)942-5652,https://www.cvs.com/store-locator/lancaster-ca-pharmacies/846-w-avenue-k-lancaster-ca-93534/storeid=1666?WT.mc_id=LS_GOOGLE_FS_1666
,Lowes #2502,(661)341-9000,https://www.lowes.com/store/CA-Lancaster/2502?cm_mmc=lod-_-c-_-lcl-_-awr-_-yxt-_-go-_-2502-_-na-_-0-_-0&y_source=1_MTE4Mzc3Ni03MTUtbG9jYXRpb24uZ29vZ2xlX3dlYnNpdGVfb3ZlcnJpZGU%3D
Walmart Supercenter - Palmdale W,Walmart #1660,(661)267-6496,https://www.walmart.com/store/1660-palmdale-ca?cn=Tracking_local_pack_1
Walmart Supercenter - Palmdale E,Walmart #2950,(661)533-0248,https://www.walmart.com/store/2950-palmdale-ca
,Walgreens #6976,(661)236-0015,https://www.walgreens.com/locator/walgreens-37160+47th+st+e-palmdale-ca-93552/id=6976
Walmart - Compton,Walmart #5807,(562)295-3870,https://www.walmart.com/store/5807-compton-ca?cn=Tracking_local_pack_1
Compton College,Starbucks Coffee #21740,(310)608-4835,https://www.starbucks.com/store-locator/store/1007405/alameda-91-1759-south-alameda-compton-ca-902204990-us
24 Hour Fitness - Compton,CVS #17349,(310)735-0097,https://www.cvs.com/store-locator/compton-ca-pharmacies/1621-s-alameda-st-compton-ca-90220/storeid=17349?WT.mc_id=LS_GOOGLE_RX_17349
,Starbucks Coffee #21740,(310)608-4835,https://www.starbucks.com/store-locator/store/1007405/alameda-91-1759-south-alameda-compton-ca-902204990-us
