"","Name of Facility","Contact Email","Contact Name","Contact Number","Address","Type","Zip Code","SPA","District 2","Clinic","Vendor","lon","lat","geoAddress"
"1","Department Of Public Social Services Compton District 26","Patriciaaguilar@dpss.lacounty.gov","Covina Tumbling",5623985800,"228 E Alondra Boulevard","Worksite",90220,"SPA 6","District 2","Nurse Team","DPH",-118.220092,33.888295,"228 e alondra blvd, compton, ca 90220, usa"
"2","Dominguez Samoan Congregation Christian Church (EFKS)","meilynthompson@gmail.com","Meilyn Thompson",6467968692,"109 S Aprilia Avenue","Faith Based",90220,"SPA 6","District 2","Nurse Team","DPH",-118.2565681,33.8950074,"109 s aprilia ave, compton, ca 90220, usa"
"3","Del Amo Station Metro A Line Blue",NA,NA,NA,"20220 S Santa Fe Avenue","Transportation",90220,"SPA 8","District 2","Liaison Team","Total Testing Solutions",-118.2115015,33.8491556,"20220 s santa fe ave, compton, ca 90221, usa"
"4","First United Methodist Church","salome.marin@coreresponse.org","Salome Marin",3109869311,"1025 S Long Beach Boulevard","Faith Based",90221,"SPA 6","District 2","Liaison Team","Curative",-118.2068364,33.8870979,"1025 s long beach blvd, compton, ca 90221, usa"
"5","Compton Unified (Caldwell St Site/Pupil Services)",NA,NA,NA,"2300 W Caldwell Street","Education",90220,"SPA 6","District 2","External - DPH","External - Other",-118.2503803,33.8830067,"2300 w caldwell st, compton, ca 90220, usa"
"6","Oaks of Righteousness Ministry 5 Breads & 2 Fish","info@5breadsand2fish.org","Grace Lee",8183035741,"2121 W Alondra Boulevard","Faith Based",90220,"SPA 6","District 2","Liaison Team","Total Testing Solutions",-118.2514602,33.8886457,"2121 w alondra blvd, compton, ca 90220, usa"
"7","Compton Library",NA,"Crystal Hodges",3106370202,"240 West Compton Boulevard","Education",90220,"SPA 6","District 2","Nurse Team","DPH",-118.2257074,33.8954437,"240 w compton blvd, compton, ca 90220, usa"
"8","Volunteers of America LA-600",NA,NA,NA,"600 N Alameda Street","People Expericing Homelessness",90221,"SPA 6","District 2","External - DHS","External - DHS",-118.2201437,33.9002272,"600 n alameda st, compton, ca 90223, usa"
"9","Northgate Market - Compton","Odette.Gonzalez@northgatemarkets.com","Odette Gonzalez",7143905444,"15107 S Atlantic Avenue","Food & Agriculture",90221,"SPA 6","District 2","Liaison Team","Fulgent",-118.1939226,33.8953064,"15107 atlantic ave, east compton, ca 90221, usa"
"10","McDonalds Store #05330",NA,NA,NA,"13814 Valley Boulevard","Food & Agriculture",91746,"SPA 3","District 1","Liaison Team",NA,-117.9886438,34.0438893,"13814 valley blvd, bassett, ca 91746, usa"
"11","McDonalds Store #05330",NA,NA,NA,"13814 Valley Boulevard","Food & Agriculture",91746,"SPA 3","District 1","Liaison Team","Fulgent",-117.9886438,34.0438893,"13814 valley blvd, bassett, ca 91746, usa"
