Name,Address,Hours,Type of Vaccine,Contact Number
CVS #9594,"901 S. Central Ave, Compton 90220",Mon-Fri: 8am-9pm; Sat:9am-6pmSun: 10am-6pm,Pfizer,310-609-1304
CVS #17349,"1621 S. Alameda St, Compton 90220",Mon-Fri: 9am-7pm; Sat: 9am-5pm; Sun:11am-5pm,Pfizer,310-735-0097
CVS #9495,"220 East Compton Blvd, Compton 90220",Mon-Fri: 8am-9pm; Sat::9am-6pm Sun:10am-6pm,Pfizer,310-604-1747
St. John's Well Child and Family Center,"2300 W. Caldwell Street, Compton 90220",Mon-Fri: 9am-4:15pm,Pfizer,Myturn.gov
City of Compton-Gonzales  Park,"1101 W. Cressey St, Compton 90222",Sat: 10am-4pm,Pfizer;J&J,Walk-ins
St.John's: Compton College,"1111 E Artesia Blvd, Compton, 90221",Mon:11am-6:45pm;Tue:-Fri: 8:30am-4:15pm,Pfizer,Walk-ins
St. Anthony Medical Centers Compton,"1145 E Compton, 90221",Tue: 8:30am-2pm,Moderna,Myturn.gov
R.O.A.D.S Community Care Clinic,"121 S. Long Beach Blvd, Compton 90221",Mon-Fri: 9am-5pm; Sat: 9am-3pm,Pfizer;J&J; Moderna,Myturn.gov
Walmart #5807,"2100 N. Long Beach Blvd, Compton 90221","Mon,Wed-Fri: 9am-5pm;Tue: 6am-5pm; Sat: 9am-1:15pm",Pfizer,562-295-3870
Rite Aid #6214,"1001 N Centreal Ave, Compton 90222",Mon-Fri 8am-10pm; Sat 9am-6pm; Sun 10am-6pm,Pfizer; Moderna,310-639-1278
Rite Aid #6313,"107 South Long Beach Blvd, Compton 90221",Mon-Fri 7am-9pm; Sat 9am-7pm; Sun 10am-6pm,Pfizer; Moderna,310-639-8026
Del Amo Metro A Line Blue,"20220 S Santa Fe Avenue, Compton CA 90220","9/21, 9/23, 9/28, 9/30 10am-7pm",,Myturn.gov
St. John's-Compton Health Center,"2115 N. Wilmington Ave, Compton CA 90222",Mon-Fri: 5-7pm,Pfizer,Myturn.gov
Compton First United Methodist Church,"1025 S Long Beach Boulevard, Compton CA 90221",,Pfizer,Myturn.gov
Davis Middle School,"621 W Poplar St, Compton CA 90221",10/2/2021 TBD,Pfizer,Walk-ins
Crystal Stairs & LA County Supervisor Holly Mitchell,"725 W Raymond Avenue, Compton CA 90220",9/23/21- 3-7PM & 9/24/21-9am-12pm,Pfizer;J&J; Moderna,Myturn.gov
St. John's - Dominguez,"15301 S. San Jose Ave, Compton, CA 90221","Wed, Fri 1:00pm-4:00pm",,Myturn.gov
Starbucks Coffee 21740,"1759 Alameda Street 101, Compton, CA 90220",Pop-up clinic on 10/27/21 from 1:00 PM to 3:00 PM,"Pfizer,J&J, Moderna",Walk-ins
Neighborhood Housing Services of LA County,"1051 Rosecrans Ave, Compton, CA 90022",Pop-up clinic on 11/02/21 from 1:00 PM to 6:00 PM,Pfizer; Moderna,Walk-ins
