Organizations Name,Address,Hours,Vaccine Type,Phone #
Children's Center of the Antelope Valley Clinic,"1102 W. Ave, Lancaster, CA 93534",9am-12pm,Pfizer,Online
Children's Center of the Antelope Valley Clinic,"1105 W. Ave H5, Lancaster, CA 93534",9am-12pm,Pfizer,Online
High Desert Medical Group,"2551 W. Ave H, Lancaster, CA 93536",Mon-Fri: 9am-3:30pm,"Pfizer, J&J, Moderna",Online
"Tarzana Treatment Centers, Inc. Lancaster","907 W. Lancaster Blvd, Lancaster, CA 93534",Thu: 10am-2pm,Pfizer; Moderna,Online
High Desert Regional Health Center,"335 E. Ave I Lancaster, CA 93535",Tue-Fri: 9:15-11am & 1-3pm,Pfizer,661-471-4000
High Desert Medical Group Geriatric Urgent Caare,"43839 N. 15th Street W. Lancaster, CA 93534",Mon-Fri: 9am-4pm,Moderna; J&J,Online
Albertsons #1322,"43543 20th St W. Lancaster, CA 93534",Mon-Fri: 8am-8pm; Sat-Sun: 9am-5pm,Pfizer; Moderna,661-940-4752
Costco #762,"1141 West Ave L, Lancaster, CA 93534",Mon-Fri: 10am-7pm; Sat: 9:30am-6pm,Moderna,661-802-4469
PMD Pharmacy,"44469 10th St W, Ste B, Lancaster, CA 93534",mon-fri 8:30am-6:15pm,Moderna,walk-in
Antelope Valley Health Center,"335 E Ave K6, BLDG B, Lancaster CA 93535",Mon-Thu 8:30am-12:45pm; Fri 8:30-8:45am,Pfizer,walk-in
Bartz Altadonna CHC Lancaster,"43322 Gigham Ave, Lancaster CA 93535",Thu: 2pm-6pm,Unknown,walk-in
Kaiser Medical Group,"615 W Ave L, Lancaster CA 93534",Mon-Fri 8:30am-6:15pm,Unknown,walk-in
Walgreens #6018,"831 E Ave K, Lancaster CA 93535",Mon-Fri 8am-9pm; Sat 9am-6pm; Sun 10am-6pm,Unknown,walk-in
Walgreens #6017,"2840 W Ave L, Lancaster CA 93536",Mon-Fri 8am-9pm; Sat 9am-6pm; Sun 10am-6pm,Unknown,661-943-8683
Lowes ,"730 W Avenue K, Lancaster CA 93534",9/21/2021 8am-4pm,"Pfizer, J &J",walk-in
SALVA Oso Market,"40340 170th Street, Palmdale, CA 93591",Pop-up clinic on 10/30/21 from 9:00 AM to 1:00 PM,"Pfizer, J&J, Moderna",walk-in
RiteAid #5840,"1356 W. Ave J, Lancaster 93534",Mon-Fri: 8am-10pm/Sat 9am-6pm/Sun: 10am-6pm,Pfizer; Moderna,661-948-3343
CVS #9785,"2006 W. Ave J, 20th & J ST West, Lancaster 93536",Mon-Fri: 8am-9pm; Sat: 9am-6pm Sun: 10am-6pm,Moderna,661-945-2729
CVS #8522,"43839 15th Street West, Suite P Lancaster, 93534",Mon-Fri: 8am-9pm; Sat: 9am-6pm Sun: 10am-6pm,Moderna,661-942-0607
CVS #9657,"44430 Chllenger Way, Lancaster, 93535",Mon-Fri: 8am-9pm; Sat: 9am-6pm Sun: 10am-6pm,Moderna,661-940-8311
CVS #1666,"846 W. Ave K, Lancaster, 93534",Mon-Fri: 8am-9pm; Sat: 9am-6pm Sun: 10am-6pm,Moderna,661-942-5652
CVS #16069,"43525 10th Street W, Lancaster 93534",Mon-Fri: 9am-7pm; Sat: 9am-5pm Sun: 11am-6pm,Moderna,661-674-3126
Walmart #2951,"1731 E Ave J, Lancaster, 93535",Mon-Fri: 9am-7pm,,661-945-7848
Walmart #1563,"44665 Valley Central Way, Lancaster CA 93534","Mon, Wed-Fri 9am-7pm; Tue 6am-7pm; Sat 9am-1:15pm, 2:15-7pm; Sun 10am-1:15pm, 2:15-6pm",,661-940-8744
