"","Pharmacy","Organizations Name","Address","Hours","Vaccine Type","Phone #","lon","lat","geoAddress"
"1",NA,"Children's Center of the Antelope Valley Clinic","1102 W. Ave, Lancaster, CA 93534","9am-12pm","Pfizer","Online",-118.1503711,34.7121521,"1102 w ave h 7, lancaster, ca 93534, usa"
"2",NA,"Children's Center of the Antelope Valley Clinic","1105 W. Ave H5, Lancaster, CA 93534","9am-12pm","Pfizer","Online",-118.1578234,34.7145344,"1105 ave h-5, lancaster, ca 93534, usa"
"3",NA,"High Desert Medical Group","2551 W. Ave H, Lancaster, CA 93536","Mon-Fri: 9am-3:30pm","Pfizer, J&J, Moderna","Online",-118.176538,34.7193712,"2551 w avenue h, lancaster, ca 93536, usa"
"4",NA,"Tarzana Treatment Centers, Inc. Lancaster","907 W. Lancaster Blvd, Lancaster, CA 93534","Thu: 10am-2pm","Pfizer; Moderna","Online",-118.1471714,34.6974833,"907 w lancaster blvd, lancaster, ca 93534, usa"
"5",NA,"High Desert Regional Health Center","335 E. Ave I Lancaster, CA 93535","Tue-Fri: 9:15-11am & 1-3pm","Pfizer","661-471-4000",-118.1252975,34.7046484,"335 e avenue i, lancaster, ca 93535, usa"
"6",NA,"High Desert Medical Group Geriatric Urgent Caare","43839 N. 15th Street W. Lancaster, CA 93534","Mon-Fri: 9am-4pm","Moderna; J&J","Online",-118.1581533,34.6787129,"43839 15th st w, lancaster, ca 93534, usa"
"7","Albertsons","Albertsons #1322","43543 20th St W. Lancaster, CA 93534","Mon-Fri: 8am-8pm; Sat-Sun: 9am-5pm","Pfizer; Moderna","661-940-4752",-118.1676714,34.6737936,"43543 20th st w, lancaster, ca 93536, usa"
"8","Costco","Costco #762","1141 West Ave L, Lancaster, CA 93534","Mon-Fri: 10am-7pm; Sat: 9:30am-6pm","Moderna","661-802-4469",-118.1515825,34.6619096,"1141 w ave l, lancaster, ca 93534, usa"
"9",NA,"PMD Pharmacy","44469 10th St W, Ste B, Lancaster, CA 93534","mon-fri 8:30am-6:15pm","Moderna","walk-in",-118.1487027,34.6914719,"44469 10th st w b, lancaster, ca 93534, usa"
"10",NA,"Antelope Valley Health Center","335 E Ave K6, BLDG B, Lancaster CA 93535","Mon-Thu 8:30am-12:45pm; Fri 8:30-8:45am","Pfizer","walk-in",-118.122936,34.669706,"335 e ave k 6 b, lancaster, ca 93535, usa"
"11",NA,"Bartz Altadonna CHC Lancaster","43322 Gigham Ave, Lancaster CA 93535","Thu: 2pm-6pm","Unknown","walk-in",-118.1216859,34.6701053,"43322 gingham ave, lancaster, ca 93535, usa"
"12",NA,"Kaiser Medical Group","615 W Ave L, Lancaster CA 93534","Mon-Fri 8:30am-6:15pm","Unknown","walk-in",-118.1423489,34.661117,"615 w ave l, lancaster, ca 93534, usa"
"13","Walgreens","Walgreens #6018","831 E Ave K, Lancaster CA 93535","Mon-Fri 8am-9pm; Sat 9am-6pm; Sun 10am-6pm","Unknown","walk-in",-118.1131365,34.6755452,"831 e ave k, lancaster, ca 93535, usa"
"14","Walgreens","Walgreens #6017","2840 W Ave L, Lancaster CA 93536","Mon-Fri 8am-9pm; Sat 9am-6pm; Sun 10am-6pm","Unknown","661-943-8683",-118.1827078,34.6596433,"2840 w ave l, lancaster, ca 93536, usa"
"15",NA,"Lowes","730 W Avenue K, Lancaster CA 93534","9/21/2021 8am-4pm","Pfizer, J &J","walk-in",-118.1450002,34.673424,"730 w ave k, lancaster, ca 93534, usa"
"16",NA,"SALVA Oso Market","40340 170th Street, Palmdale, CA 93591","Pop-up clinic on 10/30/21 from 9:00 AM to 1:00 PM","Pfizer, J&J, Moderna","walk-in",-117.826243,34.6149336,"40340 170th st e, lake los angeles, ca 93591, usa"
"17","RiteAid","RiteAid #5840","1356 W. Ave J, Lancaster 93534","Mon-Fri: 8am-10pm/Sat 9am-6pm/Sun: 10am-6pm","Pfizer; Moderna","661-948-3343",-118.1562588,34.6888269,"1356 w ave j, lancaster, ca 93534, usa"
"18","CVS","CVS #9785","2006 W. Ave J, 20th & J ST West, Lancaster 93536","Mon-Fri: 8am-9pm; Sat: 9am-6pm Sun: 10am-6pm","Moderna","661-945-2729",-118.1661175,34.6879452,"2006 w ave j #20th, lancaster, ca 93536, usa"
"19","CVS","CVS #8522","43839 15th Street West, Suite P Lancaster, 93534","Mon-Fri: 8am-9pm; Sat: 9am-6pm Sun: 10am-6pm","Moderna","661-942-0607",-118.1581533,34.6787129,"43839 15th st w p, lancaster, ca 93534, usa"
"20","CVS","CVS #9657","44430 Chllenger Way, Lancaster, 93535","Mon-Fri: 8am-9pm; Sat: 9am-6pm Sun: 10am-6pm","Moderna","661-940-8311",-118.1121764,34.6904668,"44430 challenger way, lancaster, ca 93535, usa"
"21","CVS","CVS #1666","846 W. Ave K, Lancaster, 93534","Mon-Fri: 8am-9pm; Sat: 9am-6pm Sun: 10am-6pm","Moderna","661-942-5652",-118.1471486,34.6743582,"846 w ave k, lancaster, ca 93534, usa"
