"","Pharmacy","Organizations Name","Address","Hours","Vaccine Type","Phone #","lon","lat","geoAddress"
"1","Albertsons","Albertsons #1333","38727 Tierra Subida Ave, Palmdale, CA 93551","Mon-Fri 8am-8pm; Sat-Sun 9am-5pm",NA,"(661) 274-9678",-118.1490227,34.586126,"38727 tierra subida ave, palmdale, ca 93551, usa"
"2",NA,"Palmdale Oasis Park Recreation Center","3850-A East Avenue S,Palmdale, CA 93550","Mon-Sun 12-6pm","Pfizer, J&J, Moderna",NA,-118.0615115,34.5570503,"3850 e ave s, palmdale, ca 93550, usa"
"3","Vons","Vons #3017","3027 Rancho Vista Blvd, Palmdale, CA 93551","Mon-Fri 8am-8pm; Sat-Sun 9am-5pm","Pfizer, J&J, Moderna","<U+00A0>(661) 575-2333",-118.1842784,34.6034135,"3027 rancho vista blvd, palmdale, ca 93551, usa"
"4","RiteAid","RiteAid #6396","2419 East Avenue S, Palmdale, CA 93550","Mon-Fri 8am-9pm; Sat 9am-6pm; Sun 10am-6pm","Pfizer; Moderna","<U+00A0>(661) 274-4333",-118.0852911,34.5597333,"2419 e ave s, palmdale, ca 93550, usa"
"5","RiteAid","RiteAid #5844","37950 47Th St E, Palmdale, CA 93552","Mon-Fri 8am-10pm; Sat 9am-6pm; Sun 10am-6pm","Pfizer; Moderna","<U+00A0>(661) 285-9473",-118.0443151,34.5721718,"37950 47th st e, palmdale, ca 93552, usa"
"6","RiteAid","RiteAid #6400","3105 Rancho Vista Boulevard, Palmdale, CA 93551","Mon-Fri 8am-10pm; Sat 9am-6pm; Sun 10am-6pm","Pfizer; Moderna","(661) 538-1601",-118.1855521,34.6035392,"3105 rancho vista blvd, palmdale, ca 93551, usa"
"7","Walmart","Walmart #2950","37140 47th St E, Palmdale, CA 93552","Mon, Wed-Fri 9am-7pm; Tue 6am-7pm; Sat 9am-1:30pm, 2-7pm; Sun 10am-1:30pm, 2-6pm",NA,"<U+00A0>(661) 533-0248",-118.0423941,34.5567872,"37140 47th st e, palmdale, ca 93552, usa"
"8","Walmart","Walmart #1660","40130 10th St W, Palmdale, CA 93551","Mon, Wed-Fri 9am-7pm; Tue 6am-7pm; Sat 9am-1:15pm, 2:15-7pm; Sun 10am-1:15pm, 2:15-6pm",NA,"<U+00A0>(661) 267-6496",-118.1446345,34.61175,"40130 10th st w, palmdale, ca 93551, usa"
"9","CVS","CVS #3055","38012 47th Street East Palmdale, CA 93552","Mon-Fri 8am-9pm; Sat 9am-6pm; Sun 10am-6pm",NA,"661-285-1685",-118.0440864,34.5733844,"38012 47th st e, palmdale, ca 93550, usa"
"10","CVS","CVS #17415","38019 47th St E, Palmdale, CA 93552","Mon-Fri 8am-9pm; Sat 9am-6pm; Sun 10am-6pm","Pfizer","661) 538-1077",-118.0484314,34.5739367,"38019 47th st e, palmdale, ca 93552, usa"
"11","CVS","CVS #16206","39440 10th St W, Palmdale, CA 93551","Mon-Fri 8am-9pm; Sat 9am-6pm; Sun 10am-6pm",NA,"(661) 265-7361",-118.1464629,34.5998265,"39440 10th st w, palmdale, ca 93551, usa"
"12","CVS","CVS #9634","2521 East Avenue S, Palmdale, CA 93550","Mon-Fri 8am-9pm; Sat 9am-6pm; Sun 10am-6pm","Pfizer","<U+00A0>(661) 538-1077",-118.0843766,34.5596425,"2521 e ave s, palmdale, ca 93550, usa"
"13","Walgreens","Walgreens #6976","37160 47Th St E, Palmdale, CA 93552","Mon-Fri 8am-9pm; Sat 9am-6pm; Sun 10am-6pm",NA,"<U+00A0>(661) 236-0015",-118.044498,34.5574594,"37160 47th st e, palmdale, ca 93552, usa"
