Organizations Name,Address,Hours,Vaccine Type,Phone #
Albertsons #3301,"23850 Copper Hill Dr, Santa Clarita, CA 91354",Mon-Fri 8am-8pm; Sat-Sun 9am-5pm,Pfizer; Moderna; Johnson & Johnson,(661) 775-3944
Ralphs #757,"24975 Pico Canyon Rd, Stevenson Ranch, CA 91381",Mon-Fri 10am-9pm; Sat-Sun 10am-6pm,Moderna,(661) 253-0320
Ralphs #147,"27760 McBean Pkwy, Valencia, CA 91354",Mon-Fri 10am-9pm; Sat-Sun 10am-6pm,, (661) 263-6480
Walgreens #10767,"23925 Newhall Ranch Rd, Santa Clarita, CA 91355","
Mon-Fri 8am-9pm; Sat 9am-6pm; Sun 10am-6pm",, (661) 255-7551
Market Street Center,"22900 Market St, Santa Clarita, CA 91321",Mon-Sun 12-6pm,Pfizer; Johnson & Johnson,
Walgreens #7556,"28460 Haskell Canyon Rd, Santa Clarita, CA 91390",Mon-Fri 8am-9pm; Sat 9am-6pm; Sun 10am-6pm,,(661) 513-9240
Santa Clarita Pharmacy,"27534 Sierra Hwy, Canyon Country, CA 91351",Mon-Fri 8am-9pm; Sat 9am-6pm; Sun 10am-6pm,,(661) 673-5101
UCLA Santa Clarita,"27235 Tourney Road, Suite 2500, Valencia, CA 91355",,, 310-825-2631
Vons #2111,"24160 Lyons Ave, Newhall, CA 91321",Mon-Fri 8am-8pm; Sat-Sun 9am-5pm,,(661) 259-9695
Vons #3138,"16550 W. Soledad Canyon Rd, Santa Clarita, CA 91387",Mon-Fri 8am-8pm; Sat-Sun 9am-5pm,,(661) 309-1983
Costco #447,"18649 Via Princessa, Santa Clarita, CA 91387",Mon-Fri 10am-7pm; Sat 9:30am-6pm,Pfizer; Moderna; Johnson & Johnson,661) 250-2845
UCLA Santa Clarita,"25775 McBean Parkway, Suite 215, Valencia, CA 91355",,,(310)825-2631
Walgreens #12023,"24790 Valley St, Santa Clarita, CA 91321",Mon-Fri 8am-9pm; Sat 9am-6pm; Sun 10am-6pm,,(661) 670-2020
Walgreens #6930,"19266 Soledad Canyon Rd, Santa Clarita, CA 91351",Mon-Sun 8am-9pm,, (661) 251-9433
Providence CHI: St. Clare Church,"19606 Calla Way, Canyon Country, CA 91351",Sun 9am-2pm,,
