"","Pharmacy","Organizations Name","Address","Hours","Vaccine Type","Phone #","lon","lat","geoAddress"
"1","Albertsons","Albertsons #3301","23850 Copper Hill Dr, Santa Clarita, CA 91354","Mon-Fri 8am-8pm; Sat-Sun 9am-5pm","Pfizer; Moderna; Johnson & Johnson","(661) 775-3944",-118.556635,34.4620845,"23850 copper hill dr, valencia, ca 91354, usa"
"2","Ralphs","Ralphs #757","24975 Pico Canyon Rd, Stevenson Ranch, CA 91381","Mon-Fri 10am-9pm; Sat-Sun 10am-6pm","Moderna","(661) 253-0320",-118.5742356,34.3824118,"24975 pico canyon rd, stevenson ranch, ca 91381, usa"
"3","Ralphs","Ralphs #147","27760 McBean Pkwy, Valencia, CA 91354","Mon-Fri 10am-9pm; Sat-Sun 10am-6pm",NA,"<U+00A0>(661) 263-6480",-118.5519838,34.4458417,"27760 mcbean pkwy, valencia, ca 91354, usa"
"4","Walgreens","Walgreens #10767","23925 Newhall Ranch Rd, Santa Clarita, CA 91355","
Mon-Fri 8am-9pm; Sat 9am-6pm; Sun 10am-6pm",NA,"<U+00A0>(661) 255-7551",-118.5545189,34.4298925,"23925 newhall ranch rd, valencia, ca 91355, usa"
"5",NA,"Market Street Center","22900 Market St, Santa Clarita, CA 91321","Mon-Sun 12-6pm","Pfizer; Johnson & Johnson",NA,-118.5295921,34.3752992,"22900 market st, santa clarita, ca 91321, usa"
"6","Walgreens","Walgreens #7556","28460 Haskell Canyon Rd, Santa Clarita, CA 91390","Mon-Fri 8am-9pm; Sat 9am-6pm; Sun 10am-6pm",NA,"(661) 513-9240",-118.5111201,34.4601841,"28460 haskell canyon rd, santa clarita, ca 91390, usa"
"7",NA,"Santa Clarita Pharmacy","27534 Sierra Hwy, Canyon Country, CA 91351","Mon-Fri 8am-9pm; Sat 9am-6pm; Sun 10am-6pm",NA,"(661) 673-5101",-118.4557688,34.4155532,"27534 sierra hwy, santa clarita, ca 91351, usa"
"8",NA,"UCLA Santa Clarita","27235 Tourney Road, Suite 2500, Valencia, CA 91355",NA,NA,"<U+00A0>310-825-2631",-118.5783137,34.4178277,"27235 tourney rd suite 2500, santa clarita, ca 91355, usa"
"9","Vons","Vons #2111","24160 Lyons Ave, Newhall, CA 91321","Mon-Fri 8am-8pm; Sat-Sun 9am-5pm",NA,"(661) 259-9695",-118.5576496,34.3774741,"24160 lyons ave, newhall, ca 91321, usa"
"10","Vons","Vons #3138","16550 W. Soledad Canyon Rd, Santa Clarita, CA 91387","Mon-Fri 8am-8pm; Sat-Sun 9am-5pm",NA,"(661) 309-1983",-118.4252001,34.4255304,"16550 soledad canyon rd, santa clarita, ca 91387, usa"
"11","Costco","Costco #447","18649 Via Princessa, Santa Clarita, CA 91387","Mon-Fri 10am-7pm; Sat 9:30am-6pm","Pfizer; Moderna; Johnson & Johnson","661) 250-2845",-118.4600947,34.4036152,"18649 vía princessa, santa clarita, ca 91387, usa"
"12",NA,"UCLA Santa Clarita","25775 McBean Parkway, Suite 215, Valencia, CA 91355",NA,NA,"(310)825-2631",-118.5516187,34.4004443,"25775 mcbean pkwy suite 215, santa clarita, ca 91355, usa"
"13","Walgreens","Walgreens #12023","24790 Valley St, Santa Clarita, CA 91321","Mon-Fri 8am-9pm; Sat 9am-6pm; Sun 10am-6pm",NA,"(661) 670-2020",-118.5401727,34.3792279,"24790 valley st, santa clarita, ca 91321, usa"
"14","Walgreens","Walgreens #6930","19266 Soledad Canyon Rd, Santa Clarita, CA 91351","Mon-Sun 8am-9pm",NA,"<U+00A0>(661) 251-9433",-118.4717519,34.4153424,"19266 soledad canyon rd, santa clarita, ca 91351, usa"
"15",NA,"Providence CHI: St. Clare Church","19606 Calla Way, Canyon Country, CA 91351","Sun 9am-2pm",NA,NA,-118.4784013,34.4195434,"19606 calla way, santa clarita, ca 91351, usa"
